# x	y_0	y_1	y_2	y_3	y_4	y_5	y_6	y_7
1.000000	1.112271	-0.000771	0.154739	0.000270	8.998676	-0.005688	0.469388	-0.000028
1.001000	1.112270	-0.000773	0.154739	0.000269	8.998671	-0.005718	0.469388	-0.000022
1.002000	1.112269	-0.000775	0.154740	0.000268	8.998665	-0.005747	0.469388	-0.000016
1.003000	1.112268	-0.000777	0.154740	0.000267	8.998659	-0.005775	0.469388	-0.000011
1.004000	1.112268	-0.000779	0.154740	0.000265	8.998653	-0.005801	0.469388	-0.000005
1.005000	1.112267	-0.000780	0.154740	0.000264	8.998647	-0.005826	0.469388	-0.000000
1.006000	1.112266	-0.000781	0.154741	0.000262	8.998642	-0.005849	0.469388	0.000005
1.007000	1.112265	-0.000781	0.154741	0.000261	8.998636	-0.005872	0.469388	0.000010
1.008000	1.112264	-0.000782	0.154741	0.000259	8.998630	-0.005893	0.469388	0.000015
1.009000	1.112264	-0.000782	0.154741	0.000257	8.998624	-0.005913	0.469388	0.000019
1.010000	1.112263	-0.000782	0.154742	0.000256	8.998618	-0.005932	0.469388	0.000024
1.011000	1.112262	-0.000782	0.154742	0.000254	8.998612	-0.005951	0.469388	0.000028
1.012000	1.112261	-0.000781	0.154742	0.000252	8.998606	-0.005967	0.469388	0.000032
1.013000	1.112261	-0.000780	0.154742	0.000250	8.998600	-0.005983	0.469388	0.000036
1.014000	1.112260	-0.000779	0.154743	0.000248	8.998594	-0.005998	0.469388	0.000040
1.015000	1.112259	-0.000778	0.154743	0.000246	8.998588	-0.006012	0.469389	0.000043
1.016000	1.112258	-0.000777	0.154743	0.000244	8.998582	-0.006025	0.469389	0.000047
1.017000	1.112257	-0.000775	0.154743	0.000242	8.998576	-0.006038	0.469389	0.000050
1.018000	1.112257	-0.000773	0.154744	0.000240	8.998570	-0.006049	0.469389	0.000054
1.019000	1.112256	-0.000771	0.154744	0.000238	8.998564	-0.006059	0.469389	0.000057
1.020000	1.112255	-0.000769	0.154744	0.000236	8.998558	-0.006069	0.469389	0.000060
1.021000	1.112254	-0.000767	0.154744	0.000234	8.998552	-0.006078	0.469389	0.000063
1.022000	1.112254	-0.000764	0.154745	0.000232	8.998546	-0.006086	0.469389	0.000066
1.023000	1.112253	-0.000762	0.154745	0.000229	8.998540	-0.006093	0.469389	0.000068
1.024000	1.112252	-0.000759	0.154745	0.000227	8.998534	-0.006099	0.469389	0.000071
1.025000	1.112251	-0.000756	0.154745	0.000225	8.998528	-0.006105	0.469389	0.000074
1.026000	1.112251	-0.000753	0.154745	0.000222	8.998521	-0.006110	0.469389	0.000076
1.027000	1.112250	-0.000750	0.154746	0.000220	8.998515	-0.006114	0.469389	0.000078
1.028000	1.112249	-0.000746	0.154746	0.000217	8.998509	-0.006118	0.469389	0.000081
1.029000	1.112248	-0.000743	0.154746	0.000215	8.998503	-0.006121	0.469389	0.000083
1.030000	1.112248	-0.000739	0.154746	0.000213	8.998497	-0.006123	0.469390	0.000085
1.031000	1.112247	-0.000736	0.154747	0.000210	8.998491	-0.006125	0.469390	0.000087
1.032000	1.112246	-0.000732	0.154747	0.000208	8.998485	-0.006126	0.469390	0.000088
1.033000	1.112245	-0.000728	0.154747	0.000205	8.998479	-0.006127	0.469390	0.000090
1.034000	1.112245	-0.000724	0.154747	0.000202	8.998472	-0.006127	0.469390	0.000092
1.035000	1.112244	-0.000720	0.154747	0.000200	8.998466	-0.006126	0.469390	0.000094
1.036000	1.112243	-0.000716	0.154748	0.000197	8.998460	-0.006125	0.469390	0.000095
1.037000	1.112243	-0.000712	0.154748	0.000195	8.998454	-0.006123	0.469390	0.000097
1.038000	1.112242	-0.000708	0.154748	0.000192	8.998448	-0.006121	0.469390	0.000098
1.039000	1.112241	-0.000704	0.154748	0.000189	8.998442	-0.006119	0.469390	0.000099
1.040000	1.112240	-0.000699	0.154748	0.000187	8.998436	-0.006116	0.469390	0.000101
1.041000	1.112240	-0.000695	0.154749	0.000184	8.998430	-0.006112	0.469391	0.000102
1.042000	1.112239	-0.000690	0.154749	0.000181	8.998424	-0.006108	0.469391	0.000103
